eventId,title,domains
1,Replica Reaction,Chemistry|Deep Learning
2,Domain Lake,Big Data|Blockchain|Networking|Python
3,Division Understanding,IOT|Java|Networking|Physics|Python
4,Java Room,IOT|Networking
5,Little Last,App-dev|Cybersecurity|ML|Physics
6,Intelligent Ocean,App-dev|Deep Learning|Java|ML
7,Parameter Running,Deep Learning|IOT
8,Square Profession,Biology|Blockchain|Data science|IOT|Physics
9,Division Projects,Blockchain|IOT|Java|Networking|Web-dev
10,Knowledge Last,Big Data|Chemistry|IOT|ML
11,Job Length,Kaggle|ML|Physics
12,Data Exhaled,Big Data|Chemistry|IOT|Kaggle
13,Lambda First,Deep Learning|IOT|Python
14,Domain Coding,App-dev|Big Data|Blockchain
15,Domain Reaction,App-dev|Java
16,Domain Getting,Cybersecurity|Data science|Physics
17,Division Lake,Big Data|Data science|ML|Web-dev
18,Writing Lock,Big Data|Chemistry|Deep Learning|Java|Python
19,Lesson Professor,Big Data|Deep Learning|Networking
20,Writing Professional,Chemistry|Data science|Deep Learning|Web-dev
21,Leve Wastes,Cybersecurity|Deep Learning|Python
22,Kaggle Study,Big Data|Java|Networking|Physics|Python
23,Word Room,Cybersecurity|Networking|Physics|Web-dev
24,Knowledge Normalisation,Big Data|Kaggle
25,Intelligent Check,Deep Learning|Physics
26,Viral Getting,Chemistry|Data science|Java|Kaggle|Networking
27,Easy Speed,App-dev|IOT|Java|ML|Web-dev
28,Little Dive,Deep Learning|Kaggle|Physics|Web-dev
29,Parameter Project,Big Data|IOT|Kaggle|Networking|Python
30,Parameter Professor,Java|ML
31,Little Wastes,Big Data|Blockchain|ML|Web-dev
32,Code Chemistry,Kaggle|Web-dev
33,Job Projects,Data science|Deep Learning|Java
34,Huge Chemistry,Data science|Kaggle|ML
35,Grasping Length,Big Data|Blockchain|Chemistry|Physics
36,Network Pro,Blockchain|Networking
37,Recommend Done,Chemistry|Data science|Deep Learning
38,Art Check,Networking|Python
39,Decoding Coding,Blockchain|IOT|Python
40,Computer Lake,Big Data|Biology
41,Division First,Blockchain|Chemistry|Deep Learning|IOT|Web-dev
42,Regular Chemistry,Chemistry|ML|Networking
43,Coding Understanding,Chemistry|Cybersecurity|Java
44,Job Projection,Big Data|Biology|Java
45,Parameter Pro,App-dev|Biology|Deep Learning|ML
46,Secure Story,Chemistry|Physics
47,High Calls,Data science|Kaggle|ML
48,Square Understanding,Biology|Deep Learning|Java|ML|Networking
49,Compute Story,Biology|ML|Networking|Python
50,Writing Sea,App-dev|Big Data|Biology|Blockchain|ML
51,Word Throwing,Cybersecurity|Data science|Networking
52,Java Ocean,App-dev|Blockchain|Java|ML
53,Applied Odyssey,Chemistry|IOT|ML|Physics
54,Division Room,Blockchain|Python
55,Parameter Normalisation,Biology|Blockchain|Chemistry|Python
56,GitHub Wasted,App-dev|Big Data|Chemistry|ML
57,Lesson Last,Kaggle|Physics|Web-dev
58,GitHub Running,Biology|Networking
59,Reading Profession,Biology|Cybersecurity
60,Computer Sea,App-dev|Biology|Blockchain
61,Features Normalisation,Biology|Blockchain
